#,Scenario (verbatim from your sheet),Suite file,Test name(s),Steps automated,Expected result,"Actual result (from live runs, 31 Aug 2026)",Status
1,Verify that user can perform 2 Intake to Payments full flow for 1 CXO,testSuiteCxoTwoIntakePayments.spec.js,"one CXO of 100 qty funds two 50-qty intakes, each paid in full","1. Create ONE CXO (line item qty 100 x 2,000 = 200,000) and approve it to Released.
2. Write a private fixture copy per chain, both seeded with that savedCxo and with invoice-number seeds 500 apart. Every save*Code helper rewrites pages/NSEFoundationData.json, so two chains sharing it would open each other's PO/invoice.
3. Reserve the run's whole invoice-number range in the shared fixture UP FRONT — a run that dies mid-flight has still burned its numbers on the server, and the app blocks a duplicate reference by DISABLING Proceed (silent block).
4. CHAIN A - intake (qty 50, linked to the CXO) -> approve to Released -> Process -> Send For Sourcing -> RFX -> approve -> quote (Commercial, INR, unit rate 2,000) -> foreclose -> award -> PR edit+submit -> wait Processed/Completed -> PRC -> PO -> approve -> GRN (received = PO qty) -> approve to Inwarded.
5. CHAIN A invoice: PO -> Create -> Invoice -> upload document, invoice no. + date, period/extra billing No -> FIX -> Item Matching -> tick the chain's GRN -> Submit -> approve every stage until the invoice settles.
6. CHAIN A payment: POST the acknowledgement (EXPENSE_RECORD_NO = invoice code, response_body_reference = invoice number) -> assert Accounted -> + Payment with paid amount = invoice amount, a unique UTR and today's date -> Submit -> Transactions tab shows the payment Completed.
7. CHAIN B - repeat steps 4-6 with a SECOND intake (qty 50) on the SAME CXO, which by now has 100,000 consumed and 100,000 remaining.
8. Assert the two chains are genuinely separate: different intake codes, different invoice codes, different invoice references, different UTRs.
9. Carry the invoice counter forward into the shared fixture, then restore the other fixtures.
NOTE the chains run SEQUENTIALLY (RUN_PARALLEL=false). Parallel is wired up and was tried: the app loses one of two surrogate quotes submitted at the same moment as the same supplier (RFX-26-268 stayed Released at ""0 out of 1 Supplier"" while RFX-26-267 quoted fine).
RESUME POINTS, so a late failure costs only its own segment: S1_CXO_CODE/S1_CXO_ID (reuse a CXO), S1_RESUME_PR_ID (from a Completed PR), S1_RESUME_INVOICE_ID/CODE/NUMBER (from a settled invoice). S1_ONLY=A|B runs one chain.","One CXO funds two complete Intake-to-Payment flows; both invoices reach Accounted and both payments show Completed, on two distinct sets of records.","PASS (48.2 min, 2026-09-10). CXO-FNSE-26-436 (200,000) carried both flows: chain A INT-FNSE-26-448 -> PO-NSEFN-26-254 -> Invoice-FNSE-26-410 paid 100,000 (UTR ...822651); chain B INT-FNSE-26-449 -> PO-NSEFN-26-255 -> Invoice-FNSE-26-412 paid 100,000 (UTR ...846307). All four distinctness assertions held.
Nine defects were fixed to get here. Pre-existing, in shared helpers: (a) approveSourcingUntilReleased inferred ""approved"" from a MISSING Pending Approval badge and returned with the RFX still pending; (b) _waitForApproveButton allowed only 4s per attempt and reported ""Approve not visible"" on pages that did offer it (12s now); (c) completeIntakeSubmissionPopup clicked Proceed while the Process Request dialog was still loading it disabled; (d) waitForPrStatus waited on the TRANSIENT ""Processed"" and burned 54 polls while PR-NSEFN-26-167 sat Completed (accepts an array now); (e) readInvoiceAmount read the page's ""0.00"" placeholder and entered a ZERO payment (polls for non-zero now); (f) the ack POST had no retry and lost a whole chain to one ETIMEDOUT.
Also fixed in this spec: the invoice counter was only carried forward on success, so failed runs burned references the next run then collided with.",PASS
2,Verify revert pending budget can be done for the partially processed CXO,testSuiteCxoRevertPartialBudget.spec.js,half the CXO is consumed by a submitted PR; the other half is revertable,"1. Create a CXO worth 200,000 (qty 100 x 2,000) and approve it to Released.
2. Create an intake for HALF of it (qty 50 = 100,000), approve to Released.
3. Process -> Send For Sourcing -> RFX -> approve -> quote -> foreclose.
4. Award, then PR edit + submit. THE PR SUBMIT IS THE STEP THAT CONSUMES BUDGET - see the note below.
5. Open the CXO VIEW PAGE (per QA) -> More -> Revert Pending Budget, and READ the row without submitting: Transaction Value / Consumed Value / Pending Value / the pre-filled Rollback Value.
6. Assert the split exactly: transaction 200,000, consumed 100,000, pending 100,000, rollback pre-filled 100,000.
7. Submit the revert with remarks, and assert the amount submitted equals the pending 100,000.
8. Re-open the dialog and assert ""No pending budget to revert"".
WHY THE CHAIN RUNS PAST THE INTAKE: budget is consumed when the PR is SUBMITTED - not at intake release, and NOT at the award. Measured on CXO-FNSE-26-406, whose award (AWD-FNSE-26-170, 100,000) left requisition 1134 in Pending Review as PR-DRAFT: before the PR was submitted the dialog read consumed 0 / pending 200,000; after, consumed 100,000 / pending 100,000. The first run of this test stopped at the award and read consumed 0. Corroborating: CXO-FNSE-26-390 (two intakes merely Released) and CXO-FNSE-26-391 (intake Processed, RFX only Quoted) both read consumed 0 / pending 200,000.",A CXO with half its value consumed by a submitted PR offers the other half in Revert Pending Budget; reverting it leaves nothing pending and does not disturb the consumed half.,"PASS (6.9 min, 2026-09-09; re-verified on current code). CXO-FNSE-26-414 (200,000) -> INT-FNSE-26-415 (qty 50) -> PR-NSEFN-26-154 submitted. Dialog read transaction=200000 consumed=100000 pending=100000 rollback=100000; the revert submitted 100,000 with remarks, and re-opening reported ""No pending budget to revert"".",PASS
3,Verify that Cancel button is disabled for the CXO which have active transactions,testSuiteNsefCXOtest.spec.js,Cancel is disabled while the CXO has active transactions,"1. Log in (NSEF) and open saved CXO CXO-FNSE-26-371.
2. Open the Transactions tab and confirm the CXO has linked transactions (precondition).
3. Return to the CXO overview.
4. Open the More dropdown.
5. Read the Cancel item's aria-disabled / data-disabled attributes.",Cancel is present in the More menu but not actionable.,"PASS. Cancel present with aria-disabled=""true"" and data-disabled="""". Log: '[CXO] More -> ""Cancel"" is disabled, as expected'. NOTE: every menu item's Tailwind class list contains 'data-[disabled]:' utilities, so a class-substring check false-positives; the test reads the attributes.",PASS
4,Verify the CXO panel from CXO listing page is displaying all related data properly,testSuiteQaClarified.spec.js,CXO panel opens by clicking the listing row,"1. Open the CXO listing.
2. Read the first row's code.
3. Click the row BODY (the Subject cell) - NOT the code link, which navigates away.
4. Assert the URL is still the listing (the panel is an overlay).
5. Assert the side panel is visible, shows that row's code, and carries Subject, Reference Code and Created On.",The CXO panel from the listing displays all related data.,"PASS. Clicking the row opens a fixed right-side panel (~640px) for CXO-FNSE-26-377 showing Subject, Reference Code, Supplier, Created On plus Reject / Approve / Recall. Entry point clarified by QA - clicking the CODE navigates to the detail page instead. NOTE: the panel exposes a field called 'Reference Code', which is very likely 'the reference' scenario 108 refers to.",PASS
5,Verify that if Intake is processed then cancel button is disabled for the Intake,testSuiteIntakeNegative.spec.js,Processed intake no longer offers Cancel,"1. Open the Intake listing and find an intake with status Processed.
2. Open it and assert the status chip reads Processed.
3. Open the More dropdown and list its items.
4. Check whether Cancel is present and, if so, whether it is disabled.",The processed intake cannot be cancelled.,"PASS. Cancel is ABSENT from the menu entirely (not merely disabled). Log: '[INTAKE] INT-FNSE-26-386 Processed -> Cancel absent'. DIFFERS FROM SHEET WORDING: the sheet says 'disabled'; the Intake removes the action, unlike the CXO which disables it. Test accepts either mechanism.",PASS
6,"Verify that after partially processing an Intake through multiple partial RFXs and marking the Intake as Processed, the remaining CXO amount is correctly reusable.",testSuiteIntakePartialRfxReuse.spec.js,"half an intake is converted to an RFX, the intake is closed, and the CXO's remaining half still reaches a submitted PR","1. Create ONE CXO worth 200,000 (qty 100 x 2,000), approve to Released.
2. Intake 1 at the CXO's FULL qty 100, approve to Released.
3. Process -> Send For Sourcing, and on the New Sourcing event form LOWER the item grid Quantity from 100 to 50 before submitting - a partial conversion. The cell is click-to-edit; it is addressed by field id ([id^=""cell_""][id$=""_quantity""]) rather than column position, and the helper throws if the click leaves focus on <body> so a read-only grid cannot pass as ""lowered"".
4. Approve the RFX -> quote -> foreclose -> award -> PR edit + submit (consumes 50 x 2,000 = 100,000).
5. Re-open intake 1 and READ its status chip, polling until one renders: it must NOT be Processed, since only half of it was converted. (A chip read immediately after navigation returns """" and would satisfy that assertion vacuously - which is exactly what happened on the first run.)
6. More -> Mark Processed, with a reason; assert the intake is now Processed. Its unused 50 is abandoned WITHOUT being consumed.
7. Create intake 2 for the remaining qty 50 on the SAME CXO (skipCxo), approve to Released.
8. Convert it to an RFX in full, approve, quote, foreclose, award, PR edit + submit.
9. Assert intake 2 and PR 2 are new records, distinct from chain 1 - i.e. the remaining CXO amount really was reusable after the first intake was closed out.","Closing a partially converted intake abandons its unused quantity without consuming it, so the rest of the CXO still funds a second intake through to a submitted PR.","PASS (2026-09-10, current code). CXO-FNSE-26-412: sourcing line qty lowered 100.00 -> 50.00, chain 1 PR-NSEFN-26-152 submitted, INT-FNSE-26-425 read ""Partially Processed"" (confirming the app's state for a partial conversion), Mark Processed applied, then INT-FNSE-26-426 (qty 50) on the same CXO reached PR-NSEFN-26-153.
Corroborated outside the test on the earlier run's CXO-FNSE-26-409: More -> Revert Pending Budget reports ""No pending budget to revert"", i.e. the two PRs consumed 100,000 each and the abandoned half was genuinely reusable.
NOTE the first run passed hollowly - the status chip read """" from a half-drawn page and the not.toBe('Processed') assertion could not have failed. readV4StatusChip now polls and the spec asserts the chip is non-empty first.",PASS
7,Verify that an RFX Award created from a CXO Intake can be cancelled and a new Award can be created successfully.,testSuiteAwardCancelReaward.spec.js,a rejected award can be cancelled and the RFX awarded again to a fresh PR,"1. Build the chain: CXO -> Intake -> convert to RFX (2 approvals to Released) -> supplier quote at Rs 2,000 -> foreclose.
2. Analysis tab -> Award -> allocate the full pending qty (100) -> submit into the award workflow. The first award is deliberately NOT approved - rejecting it mid-workflow IS the scenario.
3. Reject the award during approvals. The award workflow often assigns its first stage to another user, so rejectAward reassigns to NSEF Support Admin and retries before giving up.
4. Stay on the award page (do not navigate away first) and go More -> Cancel. The ""Cancel Award"" dialog is award-specific: confirm is ""Cancel Award"", the DISMISS is ""Keep Award"", and the reason textarea is mandatory.
5. The app redirects to the RFX Awards view by itself - the ONLY place the AWARD's own status is shown (the award detail page renders the parent RFX badge and the line item status, both of which read ""Awarded"" on a rejected award). Assert Status = Cancelled and Requisition = ""-"".
6. Analysis tab -> Award again -> allocate the released qty -> submit -> approve through to Completed.
7. Assert the re-award produced a requisition. A test that only asserted ""status = Cancelled"" would miss the real failure mode: qty staying locked so no further award is possible.","A rejected award can be cancelled; the cancellation releases its allocated quantity back to the pending pool, and the RFX can be awarded again through to a requisition.","PASS (8.2 min, 2026-09-11, single end-to-end run). CXO-FNSE-26-440 -> INT-FNSE-26-453 -> RFX-26-299. Award #1 AWD-FNSE-26-203 (/rfx/1536/awards/757) rejected then cancelled - the Awards view read Status ""Cancelled"", Requisition ""-"", Total Value Rs 200,000. The re-award then found Pending Awarded Quantity back at ""100.00"", which is the proof the cancellation RELEASED the qty; award #2 approved to Completed (round 2, after reassigning the stage to NSEF Support Admin) and produced requisition PR-DRAFT. Verified earlier on the same code on RFX-26-298 / AWD-FNSE-26-201 (re-award half, 1.5 min). TWO TEST BUGS were fixed to get here, both in the harness - the app was correct at every step: (a) clickAwardBackArrow waited 15s for a back arrow the app legitimately removes, because cancelling an award self-redirects to /quote-requests/<id>/awards; (b) awardsTabValueFor used normalize-space(text()), which evaluates only the FIRST text node - React emits ""{label}:"" as two text nodes (""Award Code"" + "":""), so it matched ZERO nodes for EVERY label on the Awards view and readAwardSummary silently returned empty strings, surfacing as the misleading ""expects an already-cancelled award / received ''"". NOTE the requisition assertion is /PR/i, which also accepts the PR-DRAFT placeholder (the app's literal for an unsubmitted draft requisition, cf. scenario 2) - worth tightening to require PR-DRAFT or a real PR-NSEFN code.",PASS
8,Verify that all transactions created for the CXO are displayed in the CXO transaction tab,testSuiteNsefCXOtest.spec.js,Transactions tab lists the CXO's linked intakes and Non-PO invoices,"1. Open saved CXO CXO-FNSE-26-371.
2. Open the Transactions tab.
3. Locate both sections - 'Linked Intakes' and 'Linked Non-PO Invoices' - and read each table's rows.
4. Assert both sections render and at least one carries rows.
5. Assert every listed code is non-empty.",All transactions created for the CXO appear in the Transactions tab.,"PASS. Log: '[CXO] Transactions -> intakes=1, non-PO invoices=2'. The tab renders two independent sections, each with its own table.",PASS
9,Verify that transactions created from Intake is displayed in the transaction tab of the Intake.,testSuiteIntakeNegative.spec.js,"Transactions tab lists the Intake's linked requisitions, negotiations and quote requests","1. Open the Intake listing and pick a Processed or Released intake.
2. Navigate to its /transactions tab.
3. Read the three sections - Linked Requisitions, Linked Negotiations, Linked Quote Requests.
4. Assert all three render; for a Processed intake assert at least one row exists overall.
5. Assert every listed code is non-empty.",Transactions created from the Intake appear in its Transactions tab.,"PASS. Log: '[INTAKE] Transactions -> requisitions=1, negotiations=1, quote requests=1'.",PASS
10,Verify that Intake can be created using Bulk Upload,testSuiteIntakeBulkUpload.spec.js,100 line items uploaded from the downloaded template reach a Released intake,"1. Intake create page -> select template -> expand sections -> fill EVERY header field via fillIntakeHeaderFields, with NO manual line row, so the uploaded rows are the whole grid (exactly 100, not 101).
2. Bulk Upload (top right) -> Download Template. Saved under downloads/ and asserted non-empty. The download-vs-new-tab race is kept: this app opens a tab instead often enough that a bare waitForEvent('download') hangs and reports a working feature as broken.
3. Write the SAME line item 100 times into the workbook the app just served (exceljs): Item Name ""Manpower (T&M)"", Qty 100, UOM NOS, Delivery/Billing ""Mumbai - Exchange Plaza BKC"", Unit Price 2000.
4. Upload it through the FILE CHOOSER, then wait for the streaming /api/capp/v4/intakes/excel-upload response and require its ""complete"" frame - a 200 alone is not success.
5. Assert the grid holds 100 line items by scrolling the virtualised grid and collecting its serial column (highest = 100 AND distinct = 100).
6. Potential suppliers -> Submit -> Process Request popup -> approve every stage until Released.",An intake whose 100 line items come entirely from a Bulk Upload of the downloaded template submits and approves through to Released.,"PASS (1.5 min, 2026-09-11, first run). Template served as Intake_Create_20260911.xlsx (27,305 bytes); 100 rows written (29,090 bytes); excel-upload completed; grid serials read highest 100 / distinct 100; INT-FNSE-26-454 submitted and Released after 6 workflow steps (stage 2 offered no action button, so the helper reassigned to NSEF Support Admin - normal for this env). THREE TRAPS found live and encoded in the helpers, not the spec: (a) the Bulk Upload dialog's own input[type=file] is INERT - setInputFiles on it produces no request, no toast and no grid change; the ""Upload File"" button mounts a real OS chooser, so the upload must go through waitForEvent('filechooser'); (b) template columns H (Remarks) and L (Key/itemKey) carry a custom dataValidation whose formula is literally FALSE, i.e. they reject every value - H looks like ordinary free text and is a trap; (c) the line-item grid is VIRTUALISED (~31 of 100 rows mounted at a time), so a DOM row count asserts 31 and fails a working feature - the serial column must be harvested while scrolling. The template is downloaded FRESH each run rather than committed as a fixture, so a column or validation change breaks this test by design. exceljs 4.4.0 was verified to round-trip the protected template losslessly (sheetProtection SHA-512 hash intact, all 6 dataValidations with identical sqrefs, header row byte-identical, 1002 rows preserved). The app accepted 100 IDENTICAL rows - no duplicate-item rejection at upload.",PASS
12,Verify that the lowered qty during PO Reject edit is avilable in the PRC for creation of the nect PO,testSuitePoRejectEditPrc.spec.js,the quantity freed by a PO reject-edit can be converted to a new PO,"1. Build the full chain with its OWN CXO: buildToPoViaCapp({approvePo:false}) -> CXO -> Intake -> RFX -> quote -> foreclose -> award -> PR -> PRC -> PO, left in Pending Approval so it can be rejected. This scenario must NOT reuse a stored CXO: budget is consumed at PR SUBMIT, so a reused CXO drains and submitPr then stalls on a Workflow dialog whose Submit is disabled behind ""Budget Amount is exceeded"" plus a mandatory empty ""Budget Amend Request"".
2. Reject the PO during approvals (rejectCappDoc(..., 'PO')).
3. Edit it -> lower the line quantity 100 -> 50 -> submit, confirming the follow-up workflow dialog.
4. Open the PRC's Requisition Conversion View from the PR's Transactions -> Conversions.
5. EXPAND the RC (Rate Contract) section - the Convert to PO button does not exist in the DOM until it is expanded.
6. Assert Convert to PO is enabled and BLUE (computed background rgb(51, 136, 235)).
7. Click it -> /requisition-conversion/<id>/newPo -> set the two mandatory fields (Inward Required = Yes, Inward Matching Criterion = Quantity) -> Submit -> confirm the workflow dialog.
8. Assert the conversion lands on /purchase-orders/<id> with a PO code.",The quantity freed by lowering the PO during a reject-edit returns to the PRC and can be converted into a second PO.,"PASS (17.2 min, 2026-09-11, certification run). PR-NSEFN-26-173 -> PRC-NSEFN-26-168; the PO was rejected, its qty lowered 100 -> 50, and the PR moved to ""Partially Converted"". The RC section, once expanded, offered Convert to PO enabled with background rgb(51, 136, 235) (the app's primary blue); conversion 509 produced PO-NSEFN-26-260 at /purchase-orders/1095 with ""Purchase Order Submitted successfully"". Corroborated earlier the same day on PRC conversion 507 -> PO-NSEFN-26-258. THREE TRAPS, all encoded in the helpers: (a) the Convert to PO button is INSIDE the collapsed RC (Rate Contract) section and is absent from the DOM until expanded - the first run dumped the collapsed view, saw only More/Overview/Process/Transactions and reported ""Convert to PO: null""; (b) buildToPoViaCapp ends by opening the PO in a NEW TAB and the actions object switches to it (this.page = newPage), so a spec that keeps using the `page` fixture silently drives the stale PR tab - 10 call sites had to move to a.page; (c) the edit pencil is not always present immediately after the reject re-renders the header, so editPoLowerQtyAndSubmit reloads and retries twice before giving up. The ""Converting to PO"" form has exactly two mandatory fields and is otherwise pre-filled from the PRC.",PASS
